Month,Date,Profile Name,Channel,Content Type,Likes,Comments,Labels,Interactions,Insights - Reach,Insights - Impressions,Insights - Saves,Insights - Engagement,Insights - Video Views
Januari,1/1/2019,Orange_id,INSTAGRAM,carousel,282,4,ORGANIC,286,"3,732","7,367",1,287,
Januari,1/2/2019,Orange_id,INSTAGRAM,video,158,2,ORGANIC,160,"3,407","4,696",11,171,"1,110"
Januari,1/3/2019,Orange_id,INSTAGRAM,carousel,346,11,ORGANIC,357,"4,607","8,526",6,363,
Januari,1/4/2019,Orange_id,INSTAGRAM,carousel,197,1,ORGANIC,198,"3,412","6,446",11,209,
Januari,1/8/2019,Orange_id,INSTAGRAM,carousel,674,15,ORGANIC,689,"9,156","15,817",134,823,
Januari,1/10/2019,Orange_id,INSTAGRAM,video,181,6,ORGANIC,187,"3,334","4,399",9,196,849
Januari,1/12/2019,Orange_id,INSTAGRAM,carousel,505,54,ORGANIC,559,"6,685","13,287",16,575,
Januari,1/15/2019,Orange_id,INSTAGRAM,carousel,317,5,ORGANIC,322,"4,010","7,951",58,380,
Januari,1/16/2019,Orange_id,INSTAGRAM,carousel,871,69,PROMOTED,940,"12,128","22,266",308,"1,248",
Januari,1/17/2019,Orange_id,INSTAGRAM,carousel,93,1,ORGANIC,94,,,,94,
Januari,1/17/2019,Orange_id,INSTAGRAM,carousel,388,7,ORGANIC,395,"5,121","8,305",18,413,
Januari,1/20/2019,Orange_id,INSTAGRAM,image,673,18,PROMOTED,691,"14,393","19,364",231,922,
Januari,1/22/2019,Orange_id,INSTAGRAM,video,140,1,ORGANIC,141,"2,800","3,748",4,145,912
Januari,1/23/2019,Orange_id,INSTAGRAM,video,115,8,ORGANIC,123,"2,421","3,290",4,127,699
Januari,1/24/2019,Orange_id,INSTAGRAM,carousel,277,6,ORGANIC,283,"4,090","7,086",14,297,
Januari,1/29/2019,Orange_id,INSTAGRAM,carousel,178,,ORGANIC,178,"2,741","5,152",27,205,
Januari,1/31/2019,Orange_id,INSTAGRAM,carousel,1078,42,PROMOTED,"1,120","10,051","17,633",83,"1,203",
Februari,2/3/2019,Orange_id,INSTAGRAM,carousel,658,36,ORGANIC,694,"6,168","12,460",51,745,
Februari,2/4/2019,Orange_id,INSTAGRAM,carousel,295,7,ORGANIC,302,"3,708","6,931",4,306,
Februari,2/8/2019,Orange_id,INSTAGRAM,carousel,168,,ORGANIC,168,"2,491","4,885",10,178,
Februari,2/8/2019,Orange_id,INSTAGRAM,carousel,491,50,ORGANIC,541,"6,934","12,686",15,556,
Februari,2/9/2019,Orange_id,INSTAGRAM,video,139,,ORGANIC,139,"2,719","3,849",9,148,862
Februari,2/10/2019,Orange_id,INSTAGRAM,carousel,299,5,ORGANIC,304,"3,466","6,558",1,305,
Februari,2/10/2019,Orange_id,INSTAGRAM,carousel,544,14,ORGANIC,558,"6,805","11,967",29,587,
Februari,2/11/2019,Orange_id,INSTAGRAM,carousel,517,14,ORGANIC,531,"4,902","9,117",3,534,
Februari,2/12/2019,Orange_id,INSTAGRAM,video,171,1,ORGANIC,172,"2,815","3,761",8,180,"1,060"
Februari,2/13/2019,Orange_id,INSTAGRAM,carousel,303,6,ORGANIC,309,"4,487","7,674",18,327,
Februari,2/14/2019,Orange_id,INSTAGRAM,carousel,415,12,ORGANIC,427,"5,932","10,086",45,472,
Februari,2/19/2019,Orange_id,INSTAGRAM,carousel,817,134,PROMOTED,951,"11,956","22,460",100,"1,051",
Februari,2/20/2019,Orange_id,INSTAGRAM,video,179,9,ORGANIC,188,"3,067","4,301",6,194,"1,079"
Februari,2/22/2019,Orange_id,INSTAGRAM,video,227,12,ORGANIC,239,"4,532","6,151",4,243,"2,043"
Februari,2/23/2019,Orange_id,INSTAGRAM,video,281,21,PROMOTED,302,"6,198","8,203",34,336,"2,743"
Februari,2/26/2019,Orange_id,INSTAGRAM,carousel,721,24,ORGANIC,745,"6,745","13,521",17,762,
Februari,2/28/2019,Orange_id,INSTAGRAM,video,187,3,ORGANIC,190,"3,860","5,451",3,193,"1,501"
Februari,2/28/2019,Orange_id,INSTAGRAM,carousel,865,25,PROMOTED,890,"11,041","18,824",37,927,
Maret,3/1/2019,Orange_id,INSTAGRAM,video,118,1,ORGANIC,119,"3,739","5,216",2,121,"1,361"
Maret,3/1/2019,Orange_id,INSTAGRAM,video,121,6,ORGANIC,127,"3,140","4,415",4,131,978
Maret,3/1/2019,Orange_id,INSTAGRAM,video,138,14,ORGANIC,152,"4,053","5,680",21,173,"1,187"
Maret,3/1/2019,Orange_id,INSTAGRAM,carousel,186,1,ORGANIC,187,"3,450","6,803",3,190,
Maret,3/2/2019,Orange_id,INSTAGRAM,video,132,1,ORGANIC,133,"4,039","5,399",1,134,"1,542"
Maret,3/2/2019,Orange_id,INSTAGRAM,,,,ORGANIC,,,,,,
Maret,3/2/2019,Orange_id,INSTAGRAM,carousel,376,4,ORGANIC,380,"5,414","9,850",7,387,
Maret,3/3/2019,Orange_id,INSTAGRAM,video,231,4,ORGANIC,235,"4,734","6,368",14,249,"1,839"
Maret,3/3/2019,Orange_id,INSTAGRAM,carousel,215,2,ORGANIC,217,"2,971","5,774",2,219,
Maret,3/3/2019,Orange_id,INSTAGRAM,carousel,250,,ORGANIC,250,"3,648","6,531",4,254,
Maret,3/3/2019,Orange_id,INSTAGRAM,carousel,160,,ORGANIC,160,"2,993","5,295",4,164,
Maret,3/3/2019,Orange_id,INSTAGRAM,carousel,194,1,ORGANIC,195,"2,942","5,600",0,195,
Maret,3/3/2019,Orange_id,INSTAGRAM,carousel,190,,ORGANIC,190,"3,360","6,038",2,192,
Maret,3/3/2019,Orange_id,INSTAGRAM,carousel,287,2,ORGANIC,289,"4,597","8,441",8,297,
Maret,3/5/2019,Orange_id,INSTAGRAM,carousel,293,6,ORGANIC,299,"4,203","7,361",1,300,
Maret,3/6/2019,Orange_id,INSTAGRAM,video,146,,ORGANIC,146,"3,532","4,617",10,156,"1,126"
Maret,3/7/2019,Orange_id,INSTAGRAM,carousel,135,,ORGANIC,135,"2,573","5,221",10,145,
Maret,3/8/2019,Orange_id,INSTAGRAM,carousel,381,4,ORGANIC,385,"6,038","10,831",48,433,
Maret,3/8/2019,Orange_id,INSTAGRAM,video,158,9,ORGANIC,167,"4,283","6,024",4,171,"1,385"
Maret,3/9/2019,Orange_id,INSTAGRAM,carousel,257,1,ORGANIC,258,"3,847","7,652",17,275,
Maret,3/10/2019,Orange_id,INSTAGRAM,carousel,356,4,ORGANIC,360,"4,505","8,626",7,367,
Maret,3/10/2019,Orange_id,INSTAGRAM,image,570,115,PROMOTED,685,"13,506","20,342",21,706,
Maret,3/13/2019,Orange_id,INSTAGRAM,video,151,5,ORGANIC,156,"3,913","5,301",9,165,"1,256"
Maret,3/15/2019,Orange_id,INSTAGRAM,carousel,588,5,ORGANIC,593,"7,514","13,055",19,612,
Maret,3/17/2019,Orange_id,INSTAGRAM,carousel,194,1,ORGANIC,195,"2,796","5,851",3,198,
Maret,3/17/2019,Orange_id,INSTAGRAM,carousel,324,53,ORGANIC,377,"5,193","11,070",13,390,
Maret,3/18/2019,Orange_id,INSTAGRAM,carousel,354,3,ORGANIC,357,"4,635","8,429",14,371,
Maret,3/20/2019,Orange_id,INSTAGRAM,image,414,29,ORGANIC,443,"8,142","11,554",26,469,
Maret,3/20/2019,Orange_id,INSTAGRAM,carousel,680,9,ORGANIC,689,"7,418","15,518",160,849,
Maret,3/21/2019,Orange_id,INSTAGRAM,carousel,569,7,ORGANIC,576,"7,055","12,336",70,646,
Maret,3/24/2019,Orange_id,INSTAGRAM,carousel,413,10,ORGANIC,423,"6,014","10,486",23,446,
Maret,3/24/2019,Orange_id,INSTAGRAM,video,90,2,ORGANIC,92,"2,249","3,353",2,94,646
Maret,3/24/2019,Orange_id,INSTAGRAM,carousel,367,43,ORGANIC,410,"4,588","10,380",10,420,
Maret,3/25/2019,Orange_id,INSTAGRAM,image,119,1,ORGANIC,120,"3,345","4,590",0,120,
Maret,3/29/2019,Orange_id,INSTAGRAM,carousel,945,26,PROMOTED,971,"8,289","16,206",26,997,
Maret,3/29/2019,Orange_id,INSTAGRAM,image,138,,ORGANIC,138,"2,963","4,190",1,139,
Maret,3/30/2019,Orange_id,INSTAGRAM,video,23,2,ORGANIC,25,,,,25,
Maret,3/30/2019,Orange_id,INSTAGRAM,video,112,,ORGANIC,112,"2,291","3,364",15,127,729
Maret,3/31/2019,Orange_id,INSTAGRAM,carousel,231,2,ORGANIC,233,"3,076","6,133",3,236,
Maret,3/31/2019,Orange_id,INSTAGRAM,carousel,362,43,ORGANIC,405,"4,425","9,023",8,413,
